"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Aug-2023","EQ","9,350.00","9,470.00","9,336.65","9,375.30","9,460.90","9,456.05","9,430.89","10,036.95","8,076.05","400,745","3,779,381,467.40","50,532"
"17-Aug-2023","EQ","9,414.90","9,474.75","9,350.00","9,419.55","9,374.40","9,375.30","9,398.61","10,036.95","8,076.05","402,798","3,785,741,485.25","61,445"
"16-Aug-2023","EQ","9,334.00","9,437.75","9,254.15","9,321.65","9,402.40","9,419.55","9,346.20","10,036.95","8,076.05","336,363","3,143,716,122.15","40,265"
"14-Aug-2023","EQ","9,360.00","9,364.00","9,257.90","9,356.85","9,300.00","9,321.65","9,321.87","10,036.95","8,076.05","336,864","3,140,203,166.00","44,663"
"11-Aug-2023","EQ","9,397.60","9,469.00","9,344.00","9,397.60","9,366.50","9,356.85","9,387.37","10,036.95","8,076.05","498,504","4,679,639,335.25","63,453"
"10-Aug-2023","EQ","9,463.10","9,500.00","9,342.05","9,463.10","9,400.00","9,397.60","9,412.80","10,036.95","8,076.05","523,490","4,927,507,564.70","69,010"
"09-Aug-2023","EQ","9,540.00","9,540.05","9,417.50","9,542.55","9,468.00","9,463.10","9,460.76","10,036.95","8,076.05","404,602","3,827,840,931.80","50,469"
"08-Aug-2023","EQ","9,539.95","9,623.00","9,505.00","9,523.80","9,540.05","9,542.55","9,569.26","10,036.95","8,076.05","430,636","4,120,867,494.10","64,141"
"07-Aug-2023","EQ","9,490.00","9,539.80","9,422.00","9,470.40","9,525.00","9,523.80","9,498.87","10,036.95","8,076.05","366,329","3,479,713,011.05","41,961"
"04-Aug-2023","EQ","9,560.00","9,616.00","9,427.00","9,543.70","9,447.00","9,470.40","9,527.63","10,036.95","8,076.05","540,470","5,149,396,866.95","62,897"
"03-Aug-2023","EQ","9,598.85","9,659.95","9,515.60","9,653.80","9,520.00","9,543.70","9,593.72","10,036.95","8,076.05","614,897","5,899,147,052.95","55,387"
"02-Aug-2023","EQ","9,715.00","9,793.45","9,520.35","9,716.75","9,625.00","9,653.80","9,632.53","10,036.95","8,076.05","672,815","6,480,909,326.85","96,094"
"01-Aug-2023","EQ","9,760.00","9,892.00","9,650.05","9,820.75","9,704.00","9,716.75","9,742.70","10,036.95","8,076.05","1,394,528","13,586,466,758.15","132,237"
"31-Jul-2023","EQ","9,670.30","9,837.70","9,606.00","9,670.30","9,813.00","9,820.75","9,766.65","10,036.95","8,076.05","600,060","5,860,574,500.05","83,802"
"28-Jul-2023","EQ","9,739.00","9,750.00","9,546.40","9,753.60","9,660.00","9,670.30","9,631.72","10,036.95","8,076.05","381,151","3,671,139,736.70","54,528"
"27-Jul-2023","EQ","9,770.00","9,827.15","9,691.65","9,756.35","9,751.00","9,753.60","9,754.92","10,036.95","8,076.05","256,672","2,503,814,938.05","44,498"
"26-Jul-2023","EQ","9,761.50","9,810.00","9,725.25","9,758.60","9,747.00","9,756.35","9,765.42","10,036.95","8,076.05","209,861","2,049,380,316.90","34,665"
"25-Jul-2023","EQ","9,624.00","9,774.95","9,616.80","9,694.80","9,760.00","9,758.60","9,718.00","10,036.95","8,076.05","240,998","2,342,017,795.35","37,586"
"24-Jul-2023","EQ","9,770.05","9,815.00","9,680.00","9,770.05","9,697.00","9,694.80","9,736.00","10,036.95","8,076.05","358,506","3,490,413,168.95","38,060"
"21-Jul-2023","EQ","9,720.00","9,845.00","9,703.00","9,772.50","9,765.10","9,770.05","9,774.80","10,036.95","8,076.05","328,483","3,210,854,797.45","39,991"
"20-Jul-2023","EQ","9,620.00","9,785.00","9,575.45","9,607.55","9,777.00","9,772.50","9,696.19","10,036.95","8,076.05","466,813","4,526,305,506.90","50,923"
"19-Jul-2023","EQ","9,651.00","9,666.00","9,525.65","9,665.65","9,612.80","9,607.55","9,614.98","10,036.95","8,076.05","450,254","4,329,181,084.85","52,742"
"18-Jul-2023","EQ","9,710.20","9,766.30","9,601.70","9,689.55","9,655.00","9,665.65","9,670.63","10,036.95","8,076.05","320,985","3,104,128,234.40","41,698"
"17-Jul-2023","EQ","9,647.00","9,699.00","9,555.00","9,603.65","9,691.90","9,689.55","9,614.12","10,036.95","8,076.05","444,583","4,274,276,111.55","53,157"
"14-Jul-2023","EQ","9,701.95","9,727.30","9,591.00","9,647.55","9,605.00","9,603.65","9,633.83","10,036.95","8,076.05","498,441","4,801,894,293.10","50,693"
"13-Jul-2023","EQ","9,852.95","9,898.95","9,612.00","9,835.80","9,671.00","9,647.55","9,720.05","10,036.95","8,076.05","519,564","5,050,186,594.40","68,793"
"12-Jul-2023","EQ","9,895.00","9,950.00","9,805.00","9,900.15","9,833.00","9,835.80","9,861.81","10,036.95","8,076.05","552,967","5,453,254,194.25","67,024"
"11-Jul-2023","EQ","9,796.00","9,956.85","9,736.30","9,736.30","9,900.00","9,900.15","9,896.29","10,036.95","8,076.05","568,772","5,628,732,827.65","55,818"
"10-Jul-2023","EQ","9,854.00","9,933.35","9,719.75","9,850.25","9,764.70","9,736.30","9,815.04","10,036.95","8,076.05","272,008","2,669,770,018.90","45,115"
"07-Jul-2023","EQ","9,854.00","9,945.00","9,815.00","9,859.40","9,835.00","9,850.25","9,867.18","10,036.95","8,076.05","457,050","4,509,793,409.80","49,467"
"06-Jul-2023","EQ","9,999.95","10,016.30","9,815.20","9,992.30","9,865.00","9,859.40","9,886.72","10,036.95","8,076.05","652,120","6,447,326,770.30","75,764"
"05-Jul-2023","EQ","9,697.00","10,036.95","9,675.00","9,647.40","9,990.10","9,992.30","9,885.78","10,036.95","8,076.05","815,044","8,057,349,422.15","83,869"
"04-Jul-2023","EQ","9,700.00","9,716.50","9,620.05","9,673.00","9,649.00","9,647.40","9,651.35","9,853.50","8,076.05","247,673","2,390,379,578.15","35,742"
"03-Jul-2023","EQ","9,742.05","9,785.85","9,656.55","9,789.05","9,676.25","9,673.00","9,697.47","9,853.50","8,076.05","398,066","3,860,234,867.00","52,768"
"30-Jun-2023","EQ","9,569.00","9,853.50","9,541.00","9,540.65","9,779.00","9,789.05","9,750.92","9,853.50","8,076.05","845,006","8,239,586,283.05","90,932"
"28-Jun-2023","EQ","9,475.45","9,575.00","9,432.55","9,461.00","9,544.90","9,540.65","9,527.27","9,800.00","8,076.05","482,586","4,597,729,163.55","74,441"
"27-Jun-2023","EQ","9,490.00","9,500.00","9,395.05","9,470.20","9,440.00","9,461.00","9,445.46","9,800.00","8,076.05","339,375","3,205,552,606.60","55,284"
"26-Jun-2023","EQ","9,327.30","9,520.00","9,300.00","9,327.30","9,470.00","9,470.20","9,418.77","9,800.00","8,076.05","405,168","3,816,182,793.25","64,056"
"23-Jun-2023","EQ","9,420.00","9,427.00","9,305.00","9,403.05","9,325.00","9,327.30","9,351.80","9,800.00","7,625.15","309,138","2,890,998,081.50","42,141"
"22-Jun-2023","EQ","9,439.05","9,494.35","9,373.80","9,440.85","9,410.00","9,403.05","9,429.94","9,800.00","7,625.15","288,487","2,720,414,872.85","45,384"
"21-Jun-2023","EQ","9,502.00","9,537.00","9,396.05","9,492.10","9,420.15","9,440.85","9,446.39","9,800.00","7,625.15","356,331","3,366,042,252.20","50,988"
"20-Jun-2023","EQ","9,530.00","9,538.90","9,420.00","9,532.00","9,515.05","9,492.10","9,476.15","9,800.00","7,625.15","612,713","5,806,163,235.70","67,707"
"19-Jun-2023","EQ","9,638.00","9,642.15","9,510.00","9,603.70","9,540.00","9,532.00","9,581.29","9,800.00","7,625.15","395,006","3,784,665,309.40","40,835"
"16-Jun-2023","EQ","9,595.05","9,643.40","9,552.00","9,594.85","9,605.00","9,603.70","9,603.49","9,800.00","7,625.15","682,099","6,550,531,145.60","75,190"
"15-Jun-2023","EQ","9,555.00","9,697.80","9,543.00","9,532.50","9,593.05","9,594.85","9,628.01","9,800.00","7,625.15","459,978","4,428,672,734.55","48,197"
"14-Jun-2023","EQ","9,520.00","9,599.00","9,490.50","9,517.50","9,530.00","9,532.50","9,544.05","9,800.00","7,625.15","328,167","3,132,043,090.30","38,303"
"13-Jun-2023","EQ","9,588.00","9,618.05","9,505.65","9,550.45","9,515.70","9,517.50","9,552.46","9,800.00","7,625.15","561,014","5,359,061,697.30","41,757"
"12-Jun-2023","EQ","9,625.00","9,700.00","9,537.65","9,627.80","9,550.40","9,550.45","9,561.79","9,800.00","7,625.15","316,879","3,029,930,516.55","42,034"
"09-Jun-2023","EQ","9,675.50","9,713.90","9,611.10","9,658.60","9,635.00","9,627.80","9,656.06","9,800.00","7,555.00","161,389","1,558,381,631.20","27,995"
"08-Jun-2023","EQ","9,733.00","9,765.00","9,625.50","9,707.50","9,650.25","9,658.60","9,680.90","9,800.00","7,555.00","273,746","2,650,107,758.35","36,258"
"07-Jun-2023","EQ","9,788.00","9,800.00","9,650.50","9,736.20","9,673.00","9,707.50","9,729.88","9,800.00","7,555.00","453,747","4,414,905,766.90","64,634"
"06-Jun-2023","EQ","9,629.00","9,770.00","9,611.00","9,582.10","9,715.00","9,736.20","9,718.17","9,770.00","7,555.00","542,318","5,270,336,890.95","72,431"
"05-Jun-2023","EQ","9,552.50","9,640.00","9,488.55","9,485.35","9,585.00","9,582.10","9,588.84","9,769.00","7,555.00","434,649","4,167,778,434.55","54,879"
"02-Jun-2023","EQ","9,389.00","9,525.15","9,312.70","9,328.30","9,500.25","9,485.35","9,428.06","9,769.00","7,555.00","445,105","4,196,476,839.35","44,282"
"01-Jun-2023","EQ","9,337.50","9,377.55","9,222.00","9,367.70","9,330.00","9,328.30","9,306.45","9,769.00","7,555.00","378,706","3,524,409,606.20","46,443"
"31-May-2023","EQ","9,449.95","9,449.95","9,267.60","9,383.35","9,325.00","9,367.70","9,357.38","9,769.00","7,555.00","1,614,766","15,109,983,758.15","82,790"
"30-May-2023","EQ","9,380.00","9,402.90","9,300.00","9,333.50","9,400.00","9,383.35","9,367.82","9,769.00","7,555.00","372,004","3,484,866,364.50","44,620"
"29-May-2023","EQ","9,435.00","9,488.80","9,312.05","9,399.95","9,334.00","9,333.50","9,369.96","9,769.00","7,555.00","236,834","2,219,126,179.60","29,993"
"26-May-2023","EQ","9,333.00","9,415.00","9,311.25","9,281.85","9,400.00","9,399.95","9,385.38","9,769.00","7,555.00","346,760","3,254,474,348.25","49,140"
"25-May-2023","EQ","9,220.75","9,293.40","9,216.05","9,270.75","9,282.05","9,281.85","9,262.50","9,769.00","7,555.00","218,979","2,028,293,008.15","28,075"
"24-May-2023","EQ","9,168.00","9,318.20","9,159.00","9,200.70","9,277.00","9,270.75","9,277.46","9,769.00","7,555.00","470,365","4,363,791,600.30","47,175"
"23-May-2023","EQ","9,169.00","9,235.00","9,156.75","9,156.65","9,190.00","9,200.70","9,201.24","9,769.00","7,555.00","269,008","2,475,207,117.80","31,647"
"22-May-2023","EQ","9,090.00","9,169.70","9,073.85","9,105.95","9,150.00","9,156.65","9,144.98","9,769.00","7,555.00","182,115","1,665,437,934.75","27,045"